,property,beds,showers,garages,area,description,currency,price,rent_period,url,address,time_posted
64,"3,000",month,"https://meqasa.com/house-for-rent-at-Osu,Accra,Ghana-103112?y=638743556"," Osu,Accra",,"6 bedroom house for rent at Airport Residential Area,Accra",6,6,5,400 m2,"Price is GH¢28,500 ($6,000) per month.
Please note that thi...","6,000"
65,month,"https://meqasa.com/house-for-rent-at-Airport-Residential-Area,Accra,Ghana-103107?y=638743556"," Airport Residential Area,Accra",,"4 bedroom house for rent at Airport Hills, Accra",4,5,0,300 m2,"Price is GH¢10,206 ($1890) per month­, inclusive of servi­ce...","1,890",month
66,"https://meqasa.com/house-for-rent-at-Airport-Hills,-Accra,-Ghana-004126?y=638743556"," Airport Hills, Accra",,"4 bedroom house for rent at Abelemkpe,Accra",4,4,3,290 m2,"Price is GH¢ 16,752 ($3,490) negotiable, per month.
Please ...","3,490",month,"https://meqasa.com/house-for-rent-at-Abelemkpe,Accra,Ghana-102965?y=638743556"
67," Abelemkpe,Accra",,"4 bedroom house for rent at Abelemkpe,Accra",4,4,7,300 m2,"Price is GH¢ 21330 ($3,950) negotiable, per month.

We are...","3,950",month,"https://meqasa.com/house-for-rent-at-Abelemkpe,Accra,Ghana-102964?y=638743556"," Abelemkpe,Accra"
68,,"7 bedroom house for rent at Tesano,Accra",7,7,10,300 m2,"Price is GH¢ 21,375 ($4,500) negotiable per month.
Please n...","4,500",month,"https://meqasa.com/house-for-rent-at-Tesano,Accra,Ghana-102954?y=638743556"," Tesano,Accra",
69,4 bedroom furnished house for rent at East Airport Accra,4,4,1,0,Executive 4 bedrooms ensuite with 2 boys quarters fully furn...,"1,800",month,https://meqasa.com/house-for-rent-at-East-Airport-Accra-104283?y=638743556, East Airport Accra,,2 bedroom house for rent at Cantonments
70,2,2,0,0,This 2 bedroom fully furnished townhouse is offered for rent...,"2,500",month,https://meqasa.com/house-for-rent-at-Cantonments-064882?y=638743556, Cantonments,,3 bedroom house for rent at polo close,3
71,,3,0,This is a 3 Bedroom House with 1 Bedroom Servant Room at Pol...,"3,300",month,https://meqasa.com/house-for-rent-at-polo-close-064833?y=638743556, polo close,,"3 bedroom house for rent at Cantonments, off the togo emnassy",3,4
72,8,0,"1.very secure location with 24/7 security post 
 
 2.modern ...","4,500",month,"https://meqasa.com/house-for-rent-at-Cantonments,-off-the-togo-emnassy-064933?y=638743556"," Cantonments, off the togo emnassy",,,,,
73,3 bedroom house for rent at behind president rawlings,3,3,5,0,"1.Very secure location with 24/7 security post 

2.Modern to...",$,"1,000",month,https://meqasa.com/house-for-rent-at-behind-president-rawlings-064988?y=1505674672, behind president rawlings,
74,"3 bedroom house for rent at Airport, off swiss ambassador lane",3,4,10,0,Now letting is this 3 bedroom house at Airport. It is in ver...,$,"4,000",month,"https://meqasa.com/house-for-rent-at-Airport,-off-swiss-ambassador-lane-064945?y=1505674672"," Airport, off swiss ambassador lane",
75,3 bedroom house for rent at eagler place-country kitchen,3,3,3,0,"1.Very secure location with 24/7 security post 

2 . modern ...",$,"3,000",month,https://meqasa.com/house-for-rent-at-eagler-place-country-kitchen-065107?y=1505674672, eagler place-country kitchen,
76,"3 bedroom house for rent at Airport West, off president kuffour street",3,4,4,0,"1.very secure location with 24/7 security post 
 
 2.modern ...",$,"5,000",month,"https://meqasa.com/house-for-rent-at-Airport-West,-off-president-kuffour-street-064936?y=1505674672"," Airport West, off president kuffour street",
77,3 bedroom house for rent at Labone,3,3,0,0,This beautiful 3 bedroom apartment with modern facilities is...,$,"4,000",month,https://meqasa.com/house-for-rent-at-Labone-064879?y=1505674672, Labone,
78,"3 bedroom house for rent at East Legon, off president rawlings street",3,2,0,0,"1.very secure location with 24/7 security post 
 
 2.modern ...",$,700,month,"https://meqasa.com/house-for-rent-at-East-Legon,-off-president-rawlings-street-064951?y=1505674672"," East Legon, off president rawlings street",
79,"3 bedroom house for rent at Airport, off swiss ambassador lane",3,,10,0,Now letting is this 3 bedroom house at Airport. It is in ver...,$,"4,000",month,"https://meqasa.com/house-for-rent-at-Airport,-off-swiss-ambassador-lane-064790?y=1505674672"," Airport, off swiss ambassador lane",
80,4 bedroom house for rent at off the lester hospital,4,5,8,0,1.Property is located at airport and its within a very secur...,$,"5,000",month,https://meqasa.com/house-for-rent-at-off-the-lester-hospital-064931?y=1505674672, off the lester hospital,
81,4 bedroom house for rent at morgans behind american embassy,4,4,15,0,"1.Very secure location with 24/7 security post 

2.Modern to...",$,"3,500",month,https://meqasa.com/house-for-rent-at-morgans-behind-american-embassy-064987?y=1505674672, morgans behind american embassy,
82,4 bedroom house for rent at Airport Area,4,3,0,0,sweet 4bedroom with modern furnish is within the heat of air...,$,"4,300",month,https://meqasa.com/house-for-rent-at-Airport-Area-001998?y=1505674672, Airport Area,
83,4 bedroom house for rent at au lane,4,5,4,0,This 4 bedroom elegant house within a gated community is off...,$,"5,000",month,https://meqasa.com/house-for-rent-at-au-lane-064885?y=1505674672, au lane,
84,4 bedroom house for rent at ivy house-au,4,5,7,0,"1.Very secure location with 24/7 security post 

2.Modern to...",$,"5,000",month,https://meqasa.com/house-for-rent-at-ivy-house-au-064986?y=1505674672, ivy house-au,
85,"4 bedroom house for rent at Roman Ridge, off the enginers centre",4,,4,0,"1.very secure location with 24/7 security post 
 
 2.modern ...",$,"5,000",month,"https://meqasa.com/house-for-rent-at-Roman-Ridge,-off-the-enginers-centre-064771?y=1505674672"," Roman Ridge, off the enginers centre",
86,4 bedroom house for rent at off south africa embassy-aka,4,5,7,0,"1.Very secure location with 24/7 security post

2.Modern toi...",$,"5,000",month,https://meqasa.com/house-for-rent-at-off-south-africa-embassy-aka-064997?y=1505674672, off south africa embassy-aka,
87,4 bedroom house for rent at Cantonments,4,6,0,0,This very neat 4 bedroom house is available for rent in Cant...,GH₵,"17,370",month,https://meqasa.com/house-for-rent-at-Cantonments-064883?y=1505674672, Cantonments,
88,4 bedroom house for rent at North Ridge,4,4,0,0,This elegant 4 bedroom townhouse within a very plush locatio...,$,"5,500",month,https://meqasa.com/house-for-rent-at-North-Ridge-064908?y=1505674672, North Ridge,
89,"5 bedroom furnished house for rent at Ridge, Accra",5,6,1,"6,000 m2","1.Very secure location with 24/7 security post

2.Modern t...",$,"4,500",month,"https://meqasa.com/house-for-rent-at-Ridge,-Accra,-Ghana-067791?y=728735829"," Ridge, Accra",
90,5 bedroom house for rent at Airport Area,5,5,0,0,"SWEET 5BEDROOM WITH 6 TOILET AND BATH,2BEDROOM SERVICE ROOM ...",$,"6,500",month,https://meqasa.com/house-for-rent-at-Airport-Area-002043?y=728735829, Airport Area,
91,5 bedroom house for rent at Cantoments,5,6,4,0,"1.very secure location with 24/7 security post 
 
 2.modern ...",$,"5,000",month,https://meqasa.com/house-for-rent-at-Cantoments-064934?y=728735829, Cantoments,
92,"3 bedroom house for rent at  East Legon, nthc estate-school junction-Accra",3,2,5,"1,000 m2","1.Very secure location with 24/7 security post

 
2.Moder...",$,600,month,"https://meqasa.com/house-for-rent-at--East-Legon,-nthc-estate-school-junction-Accra,-Ghana-072361?y=728735829","  East Legon, nthc est",
93,"3 bedroom house for rent at East Legon, nthc estate-school junction-Accra",3,2,5,"1,000 m2","1.Very secure location with 24/7 security post
2.Modern toi...",$,500,month,"https://meqasa.com/house-for-rent-at-East-Legon,-nthc-estate-school-junction-Accra,-Ghana-072350?y=728735829"," East Legon, nthc est",
94,2 bedroom house for rent at Cantonments,2,2,0,0,This 2 bedroom house is available for rent at Cantonment. It...,$,"3,300",month,https://meqasa.com/house-for-rent-at-Cantonments-064877?y=728735829, Cantonments,
95,"3 bedroom house for rent at East Legon, off president rawlings street",3,,0,0,"1.very secure location with 24/7 security post 
 
 2.modern ...",$,700,month,"https://meqasa.com/house-for-rent-at-East-Legon,-off-president-rawlings-street-064801?y=728735829"," East Legon, off president rawlings street",
96,3 bedroom furnished house for rent at Cantonments,3,3,0,0,luxurious 3bedroom fully furnished house within a very secur...,$,"4,000",month,https://meqasa.com/house-for-rent-at-Cantonments-001938?y=728735829, Cantonments,
97,3 bedroom house for rent at 2000,3,4,30,0,"1.Very secure location with 24/7 security post 



2.Modern ...",$,"4,500",month,https://meqasa.com/house-for-rent-at-2000-065043?y=728735829, 2000,
98,3 bedroom house for rent at off the america embassy,3,,9,0,1.Property is located at cantoments and its within a very se...,GH₵,"13,500",month,https://meqasa.com/house-for-rent-at-off-the-america-embassy-064632?y=728735829, off the america embassy,
99,3 bedroom house for rent at West Airport,3,3,0,0,This 3 bedroom house is offered for rent in West Airport off...,GH₵,"8,400",month,https://meqasa.com/house-for-rent-at-West-Airport-064894?y=728735829, West Airport,
100,4 bedroom house for rent at off the congress hotel,4,4,0,0,"4 Bedroom House for Rent at Airport, off the congress hotel....",GH₵,"13,500",month,https://meqasa.com/house-for-rent-at-off-the-congress-hotel-064628?y=728735829, off the congress hotel,
101,4 bedroom house for rent at Airport Area,4,3,0,0,"1VERY SECURE LOCATION.



2.ALL THE ROOMS COMES WITH IT ...",$,"4,500",month,https://meqasa.com/house-for-rent-at-Airport-Area-001880?y=728735829, Airport Area,
102,4 bedroom house for rent at ipmc lane,4,3,3,0,"1.Very secure location with 24/7 security post 



2.Modern ...",$,"2,500",month,https://meqasa.com/house-for-rent-at-ipmc-lane-065051?y=728735829, ipmc lane,
103,4 bedroom house for rent at off the lincoln school,4,5,3,0,Luxurious 4 bedroom townhomes with pool for rent at Abelenkp...,GH₵,"10,500",month,https://meqasa.com/house-for-rent-at-off-the-lincoln-school-064626?y=728735829, off the lincoln school,
104,4 bedroom house for rent at whelpool house,4,5,5,0,"1.Very secure location with 24/7 security post 

2.Modern to...",$,"6,000",month,https://meqasa.com/house-for-rent-at-whelpool-house-064985?y=728735829, whelpool house,
